name: arc3-CM
-4.453441295546558 0.011538461538461497
-3.7246963562753024 0.007692307692307665
-2.995951417004049 0.0038461538461538325
-2.2672064777327936 0
-1.5384615384615383 0
-0.7287449392712553 0.0038461538461538325
0 -0.007692307692307665
0.6477732793522275 0
1.4574898785425106 0.007692307692307665
2.186234817813766 0.007692307692307665
2.914979757085021 0.0038461538461538325
3.724696356275304 0.007692307692307665
4.453441295546559 0.007692307692307665
5.182186234817815 0.007692307692307665
5.91093117408907 0.007692307692307665
6.720647773279351 0.0038461538461538325
7.4493927125506065 -0.0038461538461538325
8.178137651821862 -0.011538461538461497
8.906882591093117 -0.023076923076923106
9.716599190283402 -0.03076923076923077
10.445344129554657 -0.0346153846153846
11.174089068825912 -0.04230769230769227
11.902834008097168 -0.0461538461538461
12.63157894736842 -0.04230769230769227
13.441295546558704 -0.04230769230769227
14.17004048582996 -0.038461538461538436
14.898785425101215 -0.04230769230769227
15.7085020242915 -0.04230769230769227
16.356275303643727 -0.04230769230769227
17.16599190283401 -0.04230769230769227
17.97570850202429 -0.04230769230769227
18.62348178137652 -0.04230769230769227
19.4331983805668 -0.0461538461538461
20.16194331983806 -0.0461538461538461
20.89068825910931 -0.0461538461538461
21.61943319838057 -0.050000000000000044
