name: arc3-CD
-4.579439252336446 0.07894736842105265
-3.7383177570093427 0.0736842105263158
-3.084112149532709 0.06842105263157894
-2.33644859813084 0.05789473684210544
-1.4953271028037385 0.052631578947368585
-0.8411214953271013 0.047368421052631726
0 0.04210526315789487
0.6542056074766371 0.03684210526315801
1.5887850467289724 0.04210526315789487
2.149532710280374 0.047368421052631726
2.8971962616822413 0.047368421052631726
3.738317757009346 0.052631578947368585
4.485981308411214 0.052631578947368585
5.140186915887851 0.0631578947368423
5.887850467289718 0.07894736842105265
6.635514018691589 0.09473684210526323
7.476635514018691 0.1105263157894738
8.224299065420558 0.13157894736842102
9.065420560747663 0.1578947368421053
9.719626168224297 0.1684210526315788
10.467289719626168 0.18947368421052624
11.214953271028035 0.20526315789473704
11.962616822429906 0.2105263157894739
12.710280373831774 0.22631578947368425
13.364485981308407 0.23684210526315796
14.205607476635512 0.25263157894736854
14.95327102803738 0.2578947368421054
15.70093457943925 0.2789473684210526
16.44859813084112 0.30000000000000004
17.19626168224299 0.31052631578947354
17.850467289719624 0.32105263157894726
18.691588785046726 0.33684210526315783
19.439252336448597 0.3526315789473684
20.09345794392523 0.37368421052631584
20.93457943925233 0.3894736842105264
21.682242990654203 0.4157894736842105
